ai_개념,개념_정의_초안,target_grade,chunk_id,성취기준_원문,상태,비고
분류,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,4,4수03-10,"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행 사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다.",,"기존 골든셋 항목. 아래 '의사결정트리'(4수03-10, grade4)와 코드는 같지만 '분류'는 결과, '의사결정트리'는 과정(조건 분기)이라는 다른 측면이라 별개로 유지."
패턴 인식,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,2,2수02-01,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다.",,기존 골든셋 항목.
패턴 인식,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,4,4수02-01,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.",,기존 골든셋 항목. 2수02-01과 다르게 규칙을 수나 식으로 표현할 때 필요함.
예측,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,5,4수04-02,자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다.,,기존 골든셋 항목.
특징 추출,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,3,2수03-06,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.",,기존 골든셋 항목.
데이터 수집,관찰이나 조사를 통해 필요한 자료를 모으는 것,4,4수04-03,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.",,기존 골든셋 항목. 재검색 보완(2026-08-03) 완료. '데이터 정리'와 성취기준 공유(G3_4 도메인엔 수집/정리를 분리한 성취기준 없음).
데이터 정리,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,4,4수04-03,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.",,기존 골든셋 항목. '데이터 수집'과 동일 성취기준 공유.
평균과 대표값,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,5,6수04-01,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다.",,기존 골든셋 항목. 정의와 원문 완전 일치.
확률,어떤 일이 일어날 가능성을 수로 나타내는 것,6,6수04-05,사건이 일어날 가능성을 수로 나타낼 수 있다.,,기존 골든셋 항목. 정의와 원문 완전 일치.
데이터 시각화,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,4,4수04-01,자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.,,기존 골든셋 항목. 정슬기·박만구(2023) 논문의 2015교육과정 매핑에서도 독립적으로 같은 단원을 데이터시각화에 연결해 교차 검증됨.
비교와 순서화,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,2,2수03-06,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.",,기존 골든셋 항목. '특징 추출'(grade3)과 코드는 같지만 다른 개념으로 유지.
반복과 규칙 적용,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,3,2수02-02,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.",,기존 골든셋 항목. 정한 규칙을 반복 적용하여 배열을 만드는 활동이 AI의 반복 규칙 적용 개념과 유사.
비교와 순서화,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,4,4수01-02,"다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다.",,"정슬기·박만구(2023) 논문의 2015교육과정 4-1-1 '큰 수' 단원 매핑(입력/처리/출력/정렬/알고리즘) 기반. 2022개정 4수01-02로 재매핑 - 도메인 번호는 구/신 교육과정에서 동일(01=수와 연산). 위 '비교와 순서화'(grade2, 2수03-06)와 동일 개념의 grade4 사례."
의사결정트리,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,4,4수03-10,"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행 사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다.",,"정슬기·박만구(2023) 논문의 2015교육과정 4-2-4 '사각형' 단원 매핑(의사결정트리/분류) 기반. 구 4수02-10 → 2022개정 4수03-10으로 재매핑. 위 '분류'(grade4)와 같은 코드를 가리키지만, '분류'는 결과, '의사결정트리'는 과정(조건 분기)이라는 다른 측면을 다룸."
탐구형 데이터 분석(PPDAC),문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,5,6수04-03,"탐구 문제를 설정하고, 그에 맞는 자료를 수집, 정리하여 적절한 그래프로 나타내고 해석할 수 있다.",,"실제 수업자료(대전교육정보원 '2022년 대전AI교육지원체험센터 인공지능 교육자료 패키지' 수록, '데이터 분석을 통해 미래의 음식 가격 예측하기.hwp', 대전자운초 김희철 교사, 초5-6 대상) 기반. PPDAC 모델 절차가 원문과 구조적으로 일치. 위 '예측'(4수04-02)·'데이터 수집/정리'(4수04-03)과는 별개로, 전체 탐구 절차를 하나로 다루는 성취기준이라 구분됨. 파이프라인 미실행 - 원문 직접 대조로 매칭."
