no,ai_개념,개념_정의_초안,target_grade,후보1,후보2,후보3,후보4,후보5,"정답_chunk_id(직접입력, 없으면 '없음')",검수자,비고
1,분류,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,2,"2수03-05 | 도형과 측정 | 삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다. (유사도 0.658)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.653)","2수03-12 | 도형과 측정 | 여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다. (유사도 0.648)","2수03-11 | 도형과 측정 | 1m와 1cm의 관계를 이해하고, 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있 (유사도 0.646)","2수03-06 | 도형과 측정 | 구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘ (유사도 0.646)",,,
2,분류,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,4,"4수03-10 | 도형과 측정 | 여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행  (유사도 0.664)","2수03-05 | 도형과 측정 | 삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다. (유사도 0.658)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.653)","4수03-15 | 도형과 측정 | 길이 단위 1mm와 1km를 알고, 이를 이용하여 길이를 측정하고 어림하며 수학의 유용성을 (유사도 0.652)","4수03-20 | 도형과 측정 | 실생활에서 무게를 나타낼 때 사용하는 단위 1g과 1kg을 알고, 이를 이용하여 무게를 측 (유사도 0.650)",,,
3,군집화,정답 범주가 미리 주어지지 않은 상태에서 비슷한 대상끼리 스스로 묶는 것,4,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.528)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.528)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.528)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.528)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.528),,,
4,패턴 인식,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,2,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.689)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.689)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.658)","2수03-05 | 도형과 측정 | 삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다. (유사도 0.652)","2수03-06 | 도형과 측정 | 구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘ (유사도 0.648)",,,
5,패턴 인식,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,4,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.689)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.689)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.689)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.689)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.689),,,
6,예측,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,5,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.637)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.637)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.637)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.637),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.637),,,
7,회귀,두 양 사이의 관계를 식이나 그래프로 나타내어 한 값으로부터 다른 값을 추정하는 것,6,"2수02-01 | 변화와 관계 | 물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다. (유사도 0.715)","2수02-02 | 변화와 관계 | 자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다. (유사도 0.715)","4수02-01 | 변화와 관계 | 다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다. (유사도 0.715)","4수02-02 | 변화와 관계 | 계산식의 배열에서 규칙을 찾고, 계산 결과를 추측할 수 있다. (유사도 0.715)",4수02-03 | 변화와 관계 | 등호를 사용하여 크기가 같은 두 양의 관계를 식으로 나타낼 수 있다. (유사도 0.715),,,
8,특징 추출,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,3,"2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.647)","2수03-06 | 도형과 측정 | 구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘ (유사도 0.645)","4수03-15 | 도형과 측정 | 길이 단위 1mm와 1km를 알고, 이를 이용하여 길이를 측정하고 어림하며 수학의 유용성을 (유사도 0.645)","4수03-01 | 도형과 측정 | 직선, 선분, 반직선을 이해하고 구별할 수 있다. (유사도 0.643)","4수03-13 | 도형과 측정 | 1분과 1초의 관계를 이해하고, 초 단위까지 시각을 읽을 수 있다. (유사도 0.642)",,,
9,데이터 수집,관찰이나 조사를 통해 필요한 자료를 모으는 것,4,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.678)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.678)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.678)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.678),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.678),,,
10,데이터 정리,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,4,4수03-12 | 도형과 측정 | 주어진 도형을 이용하여 여러 가지 모양을 만들거나 채우고 설명할 수 있다. (유사도 0.613),"4수03-15 | 도형과 측정 | 길이 단위 1mm와 1km를 알고, 이를 이용하여 길이를 측정하고 어림하며 수학의 유용성을 (유사도 0.612)","2수03-10 | 도형과 측정 | 길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다. (유사도 0.611)","2수03-04 | 도형과 측정 | 삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다. (유사도 0.607)","4수03-01 | 도형과 측정 | 직선, 선분, 반직선을 이해하고 구별할 수 있다. (유사도 0.606)",,,
11,평균과 대표값,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,5,"2수04-01 | 자료와 가능성 | 여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준 (유사도 0.694)","2수04-02 | 자료와 가능성 | 자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다. (유사도 0.694)","2수04-03 | 자료와 가능성 | 자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편 (유사도 0.694)",4수04-01 | 자료와 가능성 | 자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다. (유사도 0.694),4수04-02 | 자료와 가능성 | 자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다. (유사도 0.694),,,
