회차,ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
1,분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,정해진 기준에 따라 주어진 대상의 공통점과 차이점을 찾을 수 있다. 여러 속성과 특징을 바탕으로 조건과 기준을 세워 대상을 비교하고 공통점과 차이점을 찾을 수 있다.,success,True,6.35,92
1,패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,여러 대상이나 그림에서 공통된 모양이나 색깔을 찾을 수 있다. 물체와 수의 배열에서 반복되는 패턴을 관찰하여 공통된 모양이나 색깔을 찾아 설명할 수 있다.,success,True,6.17,86
1,패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,여러 물체나 데이터의 특징을 관찰하여 공통점을 찾을 수 있다. 대상에서 공통점을 관찰하여 반복되거나 변화하는 규칙을 찾아내고 이를 표현할 수 있다.,success,True,5.95,82
1,예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"시간의 흐름에 따른 자료나 수의 변화에서 규칙을 찾고, 대상들을 순서대로 정렬하기와 변화하는 패턴 찾기를 통해 앞으로 일어날 일을 짐작할 수 있다. 꺾은선그래프 등 데이터의 변화 흐름을 해석하여 다음에 올 값이나 결과를 추측할 수 있다.",success,True,5.01,132
1,특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,여러 대상이나 자료를 관찰하고 비교하여 공통점과 차이점을 찾을 수 있다. 주변의 물체나 현상에서 드러나는 여러 성질을 살피고 공통점과 차이점을 찾아 설명할 수 있다.,success,True,7.37,92
1,데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,"알아보려는 주제에 따라 관찰과 측정을 바탕으로 데이터를 모으고, 문제 해결에 필요한 정보를 정할 수 있다.",success,True,8.83,59
1,데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,수집한 데이터에서 비어 있거나 잘못된 값을 찾아낼 수 있다.,success,True,8.87,33
1,평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"자료의 여러 값을 모아서 더하고, 똑같이 나누어 고르게 만들 수 있다. 이를 통해 전체 자료의 특징을 나타내는 대표하는 값을 구하고 설명할 수 있다.",success,True,6.76,83
1,확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,"모든 경우 가짓수를 세고 조건에 맞는 경우를 골라, 일이 일어날 가능성을 분수로 나타낼 수 있다.",success,True,5.04,54
1,데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,조사한 자료의 특성에 따라 수량의 비교나 변화를 드러내기에 알맞은 그래프 유형을 정할 수 있다. 자료의 목적과 내용에 적합한 표와 그래프 유형을 선택하여 효과적으로 나타낼 수 있다.,success,True,6.81,101
1,비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"사물의 길이나 양 등의 속성을 비교하고 수량화하기 위해 알맞은 기준 정하기를 할 수 있으며, 부등호를 사용하여 크기의 순서를 나타낼 수 있다.",success,True,5.1,79
1,반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,"생활 속이나 놀이에서 반복되는 규칙을 찾아보고, 반복할 한 단계의 동작을 정할 수 있다. 순서와 차례에 따라 반복할 한 단계의 동작을 정하여 표현할 수 있다.",success,True,6.5,88
1,비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,두 대상의 공통점과 차이점을 바탕으로 양의 크기나 수의 크기를 비교하기 위해 적절한 기준 정하기를 할 수 있다. 정해진 기준에 따라 대상을 차례대로 비교하여 순서대로 늘어놓을 수 있다.,success,True,4.84,103
1,의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"기준에 따라 예 또는 아니오로 답할 수 있는 질문을 만들고, 질문의 결과에 따라 순서대로 갈래를 나누어 문제를 해결하거나 결과를 결정할 수 있다. 스무고개 놀이처럼 단계별 질문을 이어 가며 대상을 구별하는 알고리즘을 표현할 수 있다.",success,True,5.45,130
1,탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,"궁금한 점을 조사 질문으로 바꾸고, 이를 해결하기 위한 자료 수집 방법을 정할 수 있다.",success,True,8.17,49
1,인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,다양한 센서를 조작하고 입출력을 연결하여 인공지능 사물을 구성할 수 있다. 정해진 조건에 따라 인공지능 사물을 알맞게 작동시킬 수 있다.,success,True,9.46,76
1,분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,여러 대상의 공통점과 차이점을 관찰하여 기준에 따라 나누고 묶을 수 있다. 물체의 속성을 비교하고 공통점과 차이점에 따라 분류할 수 있다.,success,True,8.67,77
