ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"사물의 공통점과 차이점을 바탕으로 알맞은 기준을 세워 무리 지을 수 있으며, 새로운 대상이 들어갈 무리를 기준에 따라 결정할 수 있다.",success,True,3.82,75
패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"여러 물체나 그림, 수의 배열에서 반복되는 모양과 순서의 규칙을 찾을 수 있다. 찾아낸 규칙에 따라 같은 부분과 차이점을 알아보고, 새로운 것에 그 규칙을 적용하여 나타낼 수 있다.",success,True,4.93,101
패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"여러 대상의 공통점과 차이점을 탐색하여 반복되는 규칙을 찾고, 찾아낸 규칙에 따라 대상을 분류하거나 다음에 이어질 결과를 예측할 수 있다.",success,True,4.66,77
예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,관찰한 데이터를 순서대로 나열하여 변화의 규칙과 경향을 파악할 수 있다. 자료 변화의 흐름을 바탕으로 다음에 나타날 결과나 값을 계산하고 앞으로 일어날 일을 짐작할 수 있다.,success,True,9.02,97
특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,사물을 관찰하여 구별에 필요한 중요한 단서를 골라낼 수 있다. 불필요한 정보는 버리고 핵심 요소를 숫자나 기호로 간단하게 나타낼 수 있다.,success,True,6.82,77
데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,"알아보려는 목적에 따라 필요한 데이터를 정하고, 알맞은 도구를 활용하여 측정하거나 조사한 내용을 표에 기록할 수 있다. 수집한 데이터에서 빠진 부분을 확인하여 채울 수 있다.",success,True,9.31,97
데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,"수집한 데이터에서 빠진 곳이나 잘못된 부분을 찾아 고치고, 같은 종류끼리 묶거나 기준에 따라 순서대로 늘어놓아 알맞은 표나 틀에 맞게 다시 정리할 수 있다.",success,True,8.0,87
평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"수집한 데이터의 값을 모두 더해 똑같이 나누거나, 크기순으로 나열하여 가운데 위치를 찾고 가장 많이 나온 값을 세어 전체를 대표하는 값을 구할 수 있다.",success,True,6.3,85
확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,"어떤 일이 일어날 가능성을 말로 표현하고, 모든 경우의 수와 특정한 사건이 일어나는 경우의 수를 세어 가능성을 분수로 나타내고 비교할 수 있다.",success,True,8.0,80
데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,조사한 데이터를 쉽게 알아보도록 알맞은 그래프 종류를 선택하고 축과 범례를 정하여 나타낼 수 있다. 그래프를 통해 값의 크기 차이를 비교하고 변화하는 흐름을 관찰할 수 있다.,success,True,8.53,97
비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"기준을 정해 두 대상의 크기나 양을 견주고, 알맞은 순서에 맞게 위치를 바꾸어 차례대로 늘어놓을 수 있다.",success,True,4.64,59
반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,"같은 동작이 되풀이되는 구간을 찾아 시작과 끝을 정하고, 정해진 규칙과 순서대로 실행하여 올바른 결과가 나오는지 확인할 수 있다. 수나 모양의 배열에서 반복되는 규칙을 찾아 순서대로 따라 할 수 있다.",success,True,3.6,112
비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,정해진 기준에 따라 두 대상이나 데이터를 일대일로 대어보며 크고 작음을 판별할 수 있다. 비교한 결과를 바탕으로 순서에 맞게 차례대로 늘어놓을 수 있다.,success,True,7.85,85
의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,대상의 특징을 관찰하여 '예'와 '아니오'로 답할 수 있는 질문을 만들 수 있다. 질문의 조건에 따라 순서대로 갈래를 나누며 대상을 분류하거나 알맞은 결정을 내릴 수 있다.,success,True,8.65,96
탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,궁금한 질문을 해결하기 위해 필요한 데이터를 수집하여 표와 그래프로 나타낼 수 있다. 나타낸 그래프의 모양을 비교하고 분석한 결과를 바탕으로 그 이유를 설명할 수 있다.,success,True,6.68,94
인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,"센서가 감지한 입력값을 확인하고 조건에 따라 분류하여, 주어진 상황에 맞게 출력을 정하고 연결하는 컴퓨터 프로그램을 작성할 수 있다. 인공지능과 센서를 활용하여 동작하는 장치를 구성할 수 있다.",success,True,5.27,108
분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"여러 대상의 특징을 관찰하여 알맞은 기준을 정하고, 그 기준에 따라 대상을 나누거나 새로운 대상이 속할 무리를 판단할 수 있다.",success,True,4.41,71
로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"센서를 통해 외부 자극을 감지하고, 정해진 조건에 따라 판단한 신호를 전달하여 물리적 동작을 제어하는 과정을 설명할 수 있다. 컴퓨터나 로봇이 입력된 정보에 따라 조건별로 명령을 실행하고 장치를 움직이는 원리를 탐구할 수 있다.",success,True,4.95,127
분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"대상에서 명확히 관찰되는 공통점과 차이점을 찾아 '예' 또는 '아니오'로 답할 수 있는 질문을 만들고, 예외를 줄이도록 조건을 수정하여 알맞은 분류 기준을 정할 수 있다.",success,True,5.87,95
의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"대상 속성을 바탕으로 예/아니오 질문을 만들고, 대상을 가장 잘 나누는 질문 순서로 가지를 펼쳐 최종 결과를 찾아가는 알고리즘을 표현할 수 있다.",success,True,3.3,81
분수 기반 픽셀 표현,5,6수01-06,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"모눈종이의 전체 칸 수와 색칠된 칸 수를 세어 부분과 전체의 관계를 분수로 나타내고, 밝기에 따라 분수 크기를 대응시켜 색을 칠할 수 있다.",success,True,4.82,78
분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"격자판의 전체 칸 수와 색칠된 칸 수를 세어 분수로 나타내고, 분수의 크기로 명암을 비교할 수 있다. 분수로 표현된 데이터를 활용하여 디지털 그림을 복원할 수 있다.",success,True,5.17,92
그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"자료를 나타낼 알맞은 그림과 그림 하나가 나타낼 단위를 정하고, 수량에 맞춰 그림의 개수로 데이터를 나타내며, 그림의 길이를 통해 수량의 많고 적음을 비교할 수 있다.",success,True,8.59,93
이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,"그림이나 사진에서 색상과 모양을 구별하고, 선과 모서리를 찾아낼 수 있다. 반복되는 무늬를 찾고 여러 모양 조각을 합쳐 전체 형태를 파악할 수 있다.",success,True,7.63,83
목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,"해결하려는 목적을 확인하고, 필요한 정보를 골라 적절한 기준에 따라 데이터를 구조화할 수 있다.",success,True,4.72,53
데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.",수집한 데이터를 정돈하고 목적에 알맞은 그래프 모양을 골라 눈금과 축을 정하여 나타낼 수 있다. 그래프로 표현된 시각적 정보를 살펴보고 변화 패턴을 해석할 수 있다.,success,True,8.74,92
분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,"여러 대상의 공통된 특징을 관찰하여 나눌 기준을 정하고, 정한 기준에 따라 나누어 모을 수 있다. 새로운 대상이 어떤 모임에 속하는지 알맞은 기준에 따라 판단할 수 있다.",success,True,4.13,95
