ai_개념,개념_정의_초안,target_grade,"정답_chunk_id(직접입력, 없으면 '없음')",성취기준_원문,상태,비고 (왜 안 맞는지도 적어주시면 감사하겠습니다 :) )
분류,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,2,2수03-05,"삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다.",본 골든셋 병합완료,"기존 골든셋(하이브리드 검색+LLM 리랭킹, 팀 라벨링) 항목."
분류,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,4,4수03-10,"여러 가지 모양의 사각형에 대한 분류 활동을 통하여 직사각형, 정사각형, 사다리꼴, 평행 사변형, 마름모를 이해하고, 그 성질을 탐구하고 설명할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 아래 '의사결정트리'(4수03-10, grade4)와 코드는 같지만 '분류'는 결과, '의사결정트리'는 과정(조건 분기)이라는 다른 측면이라 별개로 유지."
패턴 인식,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,2,2수02-01,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목."
패턴 인식,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,4,4수02-01,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 2수02-01과 다르게 규칙을 수나 식으로 표현할 때 필요함."
예측,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,5,4수04-02,"자료를 수집하여 꺾은선그래프로 나타내고 해석할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목."
특징 추출,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,3,2수03-06,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목."
데이터 수집,관찰이나 조사를 통해 필요한 자료를 모으는 것,4,4수04-03,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 재검색 보완(2026-08-03) 완료. '데이터 정리'와 성취기준 공유(G3_4 도메인엔 수집/정리를 분리한 성취기준 없음)."
데이터 정리,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,4,4수04-03,"탐구 문제를 해결하기 위해 자료를 수집, 정리하여 막대그래프나 꺾은선그래프로 나타내고 해석할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. '데이터 수집'과 동일 성취기준 공유."
평균과 대표값,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,5,6수04-01,"평균의 의미를 알고, 자료를 수집하여 평균을 구하고 해석할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 정의와 원문 완전 일치."
확률,어떤 일이 일어날 가능성을 수로 나타내는 것,6,6수04-05,"사건이 일어날 가능성을 수로 나타낼 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 정의와 원문 완전 일치."
일반화,여러 개별 사례에서 공통점을 찾아 전체에 적용되는 규칙으로 정리하는 것,4,4수02-01,"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. '패턴 인식'(grade4)과 코드는 같지만 다른 개념(개별 사례→일반 규칙)으로 유지."
센서 인식,"장치가 빛, 소리, 온도 등 주변 정보를 받아들이는 것",3,4과07-01,"여러 가지 물체를 이용하여 소리를 내보고, 소리가 나는 물체는 떨림이 있음을 설명할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 소리를 감지하고 물체의 떨림을 이해하는 활동이 센서 입력 개념과 유사."
의사결정,여러 정보를 비교하여 하나의 선택을 내리는 것,5,4수04-01,"자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 직접적인 의사결정 개념은 아니나 자료 기반 판단 과정과 가장 유사."
데이터 시각화,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,4,4수04-01,"자료를 수집하여 그림그래프나 막대그래프로 나타내고 해석할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 정슬기·박만구(2023) 논문의 2015교육과정 매핑에서도 독립적으로 같은 단원을 데이터시각화에 연결해 교차 검증됨."
비교와 순서화,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,2,2수03-06,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. '특징 추출'(grade3)과 코드는 같지만 다른 개념으로 유지."
반복과 규칙 적용,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,3,2수02-02,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.",본 골든셋 병합완료,"기존 골든셋 항목. 정한 규칙을 반복 적용하여 배열을 만드는 활동이 AI의 반복 규칙 적용 개념과 유사."
