ai_개념,target_grade,chunk_id,개념_정의_초안,a1_쿼리,status,is_ai_concept,소요시간,글자수
분류,4,4수03-10,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"여러 가지 대상의 공통점과 차이점을 바탕으로 기준을 세워 나눌 수 있고, 잘 못 나누어진 대상을 찾아 기준을 바르게 수정할 수 있다.",success,True,6.13,74
패턴 인식,2,2수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"여러 가지 물체나 모양, 수의 배열에서 반복되는 규칙을 찾고, 서로 비슷한 특징을 지닌 것끼리 알맞게 이어 줄 수 있다. 또한 배열에서 규칙에 맞지 않는 불필요한 부분이나 어긋난 부분을 찾아낼 수 있다.",success,True,5.01,113
패턴 인식,4,4수02-01,자료나 사물의 배열에서 일정하게 반복되거나 변화하는 규칙을 찾아내는 것,"대상의 주요 특징을 찾아 공통된 형태를 식별할 수 있다. 수나 모양의 배열에서 반복과 변화의 규칙을 찾아 설명하고, 비슷한 성질을 가진 자료의 규칙을 구별할 수 있다.",success,True,8.65,93
예측,5,4수04-02,지금까지의 자료나 경향을 바탕으로 앞으로 일어날 일을 미리 짐작하는 것,"두 양 사이의 관계와 자료의 변화 흐름을 파악하여 알지 못하는 값을 짐작할 수 있다. 자료의 경향성을 바탕으로 앞으로 일어날 일을 예상하고, 예상한 값과 실제 결과의 차이를 비교하여 결과를 평가할 수 있다.",success,True,14.26,115
특징 추출,3,2수03-06,여러 대상 중에서 구분에 도움이 되는 두드러진 성질을 뽑아내는 것,"대상을 자세히 관찰하여 다른 것과 잘 구별되는 가장 중요한 성질을 찾아 골라낼 수 있다. 사물의 여러 가지 정보 중 불필요한 부분은 빼고, 꼭 필요한 특징만 골라 수나 말로 나타낼 수 있다.",success,True,7.71,106
데이터 수집,4,4수04-03,관찰이나 조사를 통해 필요한 자료를 모으는 것,"알아보고자 하는 목적에 알맞은 자료의 종류를 정하고, 믿을 수 있는 출처에서 알맞은 조사 도구나 측정 장치를 활용하여 필요한 자료를 모을 수 있다. 모은 자료는 형태를 일정하게 맞추어 정돈하고 저장할 수 있다.",success,True,11.24,117
데이터 정리,4,4수04-03,모은 자료를 표나 그래프 등으로 알아보기 쉽게 나타내는 것,"수집한 자료에서 잘못되거나 빠진 항목을 바르게 고치고, 공통점에 따라 알맞은 모듬으로 묶어 표나 알기 쉬운 형태로 정리할 수 있다. 자료의 형식을 일정하게 맞추고 순서에 따라 다시 배치할 수 있다.",success,True,4.94,110
평균과 대표값,5,6수04-01,여러 자료를 대표하는 하나의 값을 구해 전체 경향을 파악하는 것,"자료의 값을 모두 더하여 자료의 수로 나누어 대표하는 값을 구할 수 있다. 자료를 크기순으로 늘어놓아 가운데 위치한 값이나 가장 자주 나타나는 값을 찾고, 매우 크거나 작은 값이 있을 때 상황에 알맞은 대표하는 값을 비교하여 고를 수 있다.",success,True,25.45,134
확률,6,6수04-05,어떤 일이 일어날 가능성을 수로 나타내는 것,"일어날 수 있는 모든 경우를 구하여 전체 경우의 수와 특정 사건이 일어나는 경우의 수를 세고, 비와 비율을 이용하여 가능성의 크기를 비교하고 수로 나타낼 수 있다. 실험이나 관찰을 통해 얻은 상대도수로 일어날 가능성을 수치화하여 표현할 수 있다.",success,True,5.21,137
데이터 시각화,4,4수04-01,자료를 그래프나 그림으로 표현하여 한눈에 파악할 수 있게 하는 것,"자료의 특성에 알맞은 그래프를 선택하고, 눈금의 범위와 범례를 정하여 자료의 값을 알맞은 색이나 모양으로 나타낼 수 있다. 완성된 그래프에서 자료의 전체적인 변화 흐름과 눈에 띄게 차이 나는 특징을 찾아 설명할 수 있다.",success,True,9.10,123
비교와 순서화,2,2수03-06,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"기준을 정하여 두 개 이상의 대상을 비교하고, 정해진 순서 규칙에 따라 위치를 바꾸며 순서대로 늘어놓을 수 있다.",success,True,5.53,63
반복과 규칙 적용,3,2수02-02,같은 규칙을 여러 번 반복하여 적용해 결과를 얻는 것,"수나 모양의 배열에서 되풀이되는 규칙을 찾아 설명할 수 있다. 정해진 조건에 따라 같은 과정을 반복하여 적용하고, 멈추는 때를 판단하여 문제를 해결할 수 있다.",success,True,8.05,89
비교와 순서화,4,4수01-02,여러 대상의 크기나 양을 비교하여 순서를 정하는 것,"대상에 따른 기준을 정해 순서를 정하고, 순서 규칙에 따라 위치를 바꾸어 작은 것부터 큰 것 순서나 큰 것부터 작은 것 순서로 정렬할 수 있다.",success,True,5.25,80
의사결정트리,4,4수03-10,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"주어진 문제의 답을 얻기 위해 가장 알맞은 질문을 순서대로 선택하고, 조건에 따라 갈래를 나누며 답을 찾아갈 수 있다. 이 과정에서 너무 복잡하거나 불필요한 질문 단계는 줄여서 알맞은 규칙으로 간결하게 정리할 수 있다.",success,True,8.97,122
탐구형 데이터 분석(PPDAC),5,6수04-03,문제를 설정하고 필요한 자료를 수집·정리하여 그래프로 나타내고 해석함으로써 결론을 도출하는 탐구 절차,"궁금한 점을 해결하기 위해 탐구 질문을 만들고 조사 방법을 계획할 수 있다. 수집한 자료를 알맞은 그래프로 나타내어 자료의 변화나 특징을 해석하고, 분석한 결과를 바탕으로 결론을 이끌어낼 수 있다.",success,True,8.63,110
인공지능 사물 제작(피지컬 컴퓨팅),6,6실04-06,센서로 정보를 입력받아 인공지능으로 판단하고 로봇·사물이 반응하도록 코딩하여 동작시키는 것,"감지 장치로 모은 정보를 정리하여 인공지능과 움직이는 부품의 연결 통로를 설정할 수 있다. 인공지능의 판단 결과에 따라 부품이 동작하도록 조건에 맞는 명령을 작성하고, 작동 결과가 다시 반영되어 계속 동작하는 사물 장치를 만들 수 있다.",success,True,9.42,132
분류(과학 도메인),3,4과02-01,주어진 대상을 공통된 특징이나 기준에 따라 몇 가지 범주로 나누는 것,"대상의 특징을 관찰하여 겹치지 않는 명확한 기준을 세우고, 이에 따라 대상을 무리 지어 나누거나 새로운 대상이 들어갈 무리를 정할 수 있다.",success,True,4.74,78
로봇의 작동 원리,5,6실04-05,로봇의 종류와 활용 사례를 통해 로봇이 어떻게 작동하는지 이해하는 것,"감지된 정보의 조건에 따라 알맞은 행동을 연결하고, 상황에 맞게 움직이는 부분의 방향과 세기를 조절할 수 있다. 자극이나 신호에 따라 다르게 나타나는 행동을 판단하여 알맞은 움직임을 제어할 수 있다.",success,True,9.12,111
분류 기준 설계,6,6수03-05,대상을 나눌 때 기준이 되는 특징을 스스로 정하는 것,"대상의 여러 특징 중 알맞은 성질을 골라내고, 겹치거나 빠지는 경우 없이 명확한 경계와 기준을 정할 수 있다. 정한 기준에 애매하거나 헷갈리는 사례가 없는지 검토하며 알맞은 조건과 규칙을 만들 수 있다.",success,True,9.24,113
의사결정트리,6,6수03-05,여러 조건에 따라 질문을 나눠가며 대상을 분류하거나 결정을 내리는 나무 모양의 구조,"주어진 자료에서 대상을 가장 잘 구별할 수 있는 질문을 순서대로 정하고, 질문의 조건에 따라 갈래를 나누며 알맞은 최종 결과를 찾아낼 수 있다. 조건에 따른 질문을 차례대로 배치하여 답을 찾아가는 과정을 표현할 수 있다.",success,True,9.68,123
분수 기반 픽셀 표현,5,6수01-07,그림을 격자(픽셀) 단위로 나타낼 때 부분의 크기를 분수로 비교하는 것,"모눈종이의 전체 격자 영역을 똑같이 나누고, 색이 채워진 칸 수를 세어 전체에 대한 부분의 크기를 분수로 나타낼 수 있다. 진하기나 명암의 비율을 분수로 바꾸어 표현하고, 분수의 크기에 따라 색의 진하고 연한 정도를 모눈에 정해진 색으로 정밀하게 나타낼 수 있다.",success,True,5.39,147
그림그래프 기반 데이터 시각화,6,4수04-01,자료를 그림그래프로 나타내고 이를 실생활에 활용하는 것,"수량 자료를 나타내기 위해 알맞은 단위 그림의 크기와 값을 정할 수 있다. 수량에 따라 그림의 개수를 정하여 나타내고, 그림의 크기와 개수를 통해 수량의 많고 적음을 비교하여 나타난 특징을 해석할 수 있다.",success,True,5.14,115
이미지의 시각적 특징 인식,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04",이미지의 색·형태 등 시각적 특징을 발견하고 표현에 활용하는 것,"사진이나 그림에서 밝기와 색의 변화를 통해 테두리와 모서리를 찾아낼 수 있다. 모양이나 무늬에서 공통된 특징을 찾아 묶고, 대상의 가장 중요한 시각 정보를 골라낼 수 있다.",success,True,9.30,96
목적 기반 데이터 정리,6,6수04-03,자료를 수집·분류·정리하여 목적에 맞는 그래프로 나타내고 해석하는 것,"해결하려는 목적에 맞게 필요한 정보만 골라내고 관련 없는 자료는 제외하며, 목적에 따른 기준을 세워 자료에 이름표를 붙여 정리할 수 있다.",success,True,5.00,77
데이터의 시각화,4,4수04-03,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","조사한 자료에 알맞은 그래프 형태를 정하고, 수의 크기를 그림의 크기, 색깔, 위치로 바꾸어 표현할 수 있다. 그래프의 눈금과 범례를 살펴 자료의 변화를 해석하고, 특이한 값이나 자료 사이의 관계를 찾아 설명할 수 있다.",success,True,8.73,123
분류,3,4과02-01,데이터 집합을 공통된 특징이나 조건에 따라 여러 범주로 나누는 과정,여러 대상의 공통점과 차이점을 알아보고 분명한 기준을 정하여 나누거나 묶을 수 있다. 정해진 기준을 바탕으로 새로운 대상이 어느 무리에 속하는지 찾아 분류할 수 있다.,success,True,7.63,93
데이터의 시각화,6,4수04-01,"숫자나 텍스트로만 존재하는 데이터를 시각적 요소(막대, 선, 점, 색상 등)로 변환해 보여주는 과정.","자료의 특성에 알맞은 그래프를 선택하고 색상, 크기, 위치를 활용하여 나타낼 수 있다. 눈금의 크기와 범위를 적절하게 정하여 자료를 그래프로 표현하고, 나타난 변화의 흐름이나 도드라진 값을 찾아 해석할 수 있다.",success,True,4.56,118
컴퓨터의 픽셀 이미지 인식방법,5,"6미01-01,6미01-02,6미01-04,6미02-01,6미02-02,6미02-04,6미03-04","컴퓨터가 이미지를 처리할 때, 이미지를 작은 격자 단위인 픽셀(pixel)로 나누어 각 픽셀의 색상 값(RGB 등)을 읽고 분석하는 방식","모눈종이의 칸마다 색을 숫자로 바꾸어 나타내고, 숫자 값의 차이와 변화 모양을 다른 자료와 견주어 파악할 수 있다. 그림을 작은 격자로 나누어 각 위치의 숫자를 읽고, 숫자들의 차이점과 닮은 점을 비교할 수 있다.",success,True,5.86,119
데이터 정리,6,6수04-03,"원시(raw) 데이터에서 불필요하거나 오류가 있는 부분을 제거하고, 분석이나 시각화에 적합한 형태로 구조화하는 과정","수집한 자료에서 잘못되거나 빈 곳을 찾아 바로잡고, 정해진 기준에 따라 차례대로 순서를 정하며, 쓸데없는 내용을 없애어 보기 쉬운 표로 깔끔하게 나타낼 수 있다.",success,True,5.10,90
공통점과 차이점 구별하기,6,6과06-02,두 가지 이상의 대상이나 개념을 비교할 때 서로 같은 점(공통점)과 서로 다른 점(차이점)을 찾아내는 사고 과정,"대상의 여러 가지 세부 성질을 찾아내고, 같은 성질의 값을 대조하여 공통 성질에 따라 무리를 짓거나 다른 성질에 따라 경계를 구분할 수 있다.",success,True,4.81,79
인공지능 순서도 이해하기,6,6실05-01,인공지능이 문제를 해결하거나 작업을 수행할 때 따르는 처리 과정과 흐름을 도식화한 순서도를 보고 그 의미를 파악하는 것,"약속된 기호로 표현된 절차를 분석하고, 조건에 따라 갈라지는 길을 따라가며 들어오는 값에 따른 결과를 예측하여 잘못된 부분을 찾아 바르게 고칠 수 있다.",success,True,4.77,85
대표값,5,6수04-01,자료 전체를 대표할 수 있는 하나의 값,"자료 전체의 특징을 잘 나타내는 대표적인 값을 구하고, 극단적인 값의 유무에 따라 알맞은 대표적인 값을 선택하여 자료의 특성을 설명할 수 있다. 평균, 가장 자주 나오는 값, 가운데 있는 값을 계산하여 자료의 전체적인 경향을 알아볼 수 있다.",success,True,4.36,135
평균값,6,6수04-01,여러 수를 다 더해서 개수로 나눈 값,수치로 나타낸 자료의 총합을 구하고 전체 자료의 수로 나누어 자료 전체의 특성을 대표하는 값을 구할 수 있다.,success,True,7.78,61
